code,category_no,category,subcategory_no,subcategory,service,note,requires_health_check,health_check_reason,duration_default,duration_min,duration_max,price
1.1.1,1,Массаж тела,1.1,Базовый ручной массаж,Классический массаж всего тела,,false,,,,,
1.1.2,1,Массаж тела,1.1,Базовый ручной массаж,Общий оздоровительный массаж,,false,,,,,
1.1.3,1,Массаж тела,1.1,Базовый ручной массаж,Общий расслабляющий массаж,,false,,,,,
1.1.4,1,Массаж тела,1.1,Базовый ручной массаж,Массаж спины,,false,,,,,
1.1.5,1,Массаж тела,1.1,Базовый ручной массаж,Массаж шейно-воротниковой зоны,,false,,,,,
1.1.6,1,Массаж тела,1.1,Базовый ручной массаж,Массаж головы,,false,,,,,
1.1.7,1,Массаж тела,1.1,Базовый ручной массаж,Массаж лица,,false,,,,,
1.1.8,1,Массаж тела,1.1,Базовый ручной массаж,Массаж плечевого пояса,,false,,,,,
1.1.9,1,Массаж тела,1.1,Базовый ручной массаж,Массаж грудного отдела спины,,false,,,,,
1.1.10,1,Массаж тела,1.1,Базовый ручной массаж,Массаж пояснично-крестцовой зоны,,false,,,,,
1.1.11,1,Массаж тела,1.1,Базовый ручной массаж,Массаж рук,,false,,,,,
1.1.12,1,Массаж тела,1.1,Базовый ручной массаж,Массаж кистей,,false,,,,,
1.1.13,1,Массаж тела,1.1,Базовый ручной массаж,Массаж ног,,false,,,,,
1.1.14,1,Массаж тела,1.1,Базовый ручной массаж,Массаж стоп,,false,,,,,
1.1.15,1,Массаж тела,1.1,Базовый ручной массаж,Массаж живота,,false,,,,,
1.1.16,1,Массаж тела,1.1,Базовый ручной массаж,Массаж ягодиц,,false,,,,,
1.1.17,1,Массаж тела,1.1,Базовый ручной массаж,Массаж бедер,,false,,,,,
1.1.18,1,Массаж тела,1.1,Базовый ручной массаж,Массаж голеней,,false,,,,,
1.1.19,1,Массаж тела,1.1,Базовый ручной массаж,Массаж зоны декольте,,false,,,,,
1.1.20,1,Массаж тела,1.1,Базовый ручной массаж,Массаж отдельных зон,,false,,,,,
1.1.21,1,Массаж тела,1.1,Базовый ручной массаж,Экспресс-массаж 15–20 минут,,false,,,,,
1.1.22,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 30 минут,,false,,,,,
1.1.23,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 45 минут,,false,,,,,
1.1.24,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 60 минут,,false,,,,,
1.1.25,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 90 минут,,false,,,,,
1.1.26,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 120 минут,,false,,,,,
1.2.1,1,Массаж тела,1.2,Расслабляющие массажи,Relax-массаж,,false,,,,,
1.2.2,1,Массаж тела,1.2,Расслабляющие массажи,Антистресс-массаж,,false,,,,,
1.2.3,1,Массаж тела,1.2,Расслабляющие массажи,Мягкий расслабляющий массаж,,false,,,,,
1.2.4,1,Массаж тела,1.2,Расслабляющие массажи,Релакс-массаж всего тела,,false,,,,,
1.2.5,1,Массаж тела,1.2,Расслабляющие массажи,Массаж при усталости,,false,,,,,
1.2.6,1,Массаж тела,1.2,Расслабляющие массажи,Массаж для снятия мышечного напряжения,,false,,,,,
1.2.7,1,Массаж тела,1.2,Расслабляющие массажи,Массаж после рабочего дня,,false,,,,,
1.2.8,1,Массаж тела,1.2,Расслабляющие массажи,Массаж для сна,,false,,,,,
1.2.9,1,Массаж тела,1.2,Расслабляющие массажи,Аромамассаж,,false,,,,,
1.2.10,1,Массаж тела,1.2,Расслабляющие массажи,Массаж с эфирными маслами,,false,,,,,
1.2.11,1,Массаж тела,1.2,Расслабляющие массажи,Массаж теплым маслом,,false,,,,,
1.2.12,1,Массаж тела,1.2,Расслабляющие массажи,Массаж свечами,,false,,,,,
1.2.13,1,Массаж тела,1.2,Расслабляющие массажи,Массаж горячими камнями,,false,,,,,
1.2.14,1,Массаж тела,1.2,Расслабляющие массажи,Стоунтерапия,,false,,,,,
1.2.15,1,Массаж тела,1.2,Расслабляющие массажи,Массаж с травяными мешочками,,false,,,,,
1.2.16,1,Массаж тела,1.2,Расслабляющие массажи,Медовый массаж,,false,,,,,
1.2.17,1,Массаж тела,1.2,Расслабляющие массажи,Шоколадный массаж,,false,,,,,
1.2.18,1,Массаж тела,1.2,Расслабляющие массажи,Солевой массаж,,false,,,,,
1.2.19,1,Массаж тела,1.2,Расслабляющие массажи,Спа-массаж,,false,,,,,
1.2.20,1,Массаж тела,1.2,Расслабляющие массажи,Балийский массаж,,false,,,,,
1.2.21,1,Массаж тела,1.2,Расслабляющие массажи,Тайский расслабляющий массаж,,false,,,,,
1.2.22,1,Массаж тела,1.2,Расслабляющие массажи,Гавайский массаж Ломи-Ломи,,false,,,,,
1.2.23,1,Массаж тела,1.2,Расслабляющие массажи,Аюрведический массаж,,false,,,,,
1.2.24,1,Массаж тела,1.2,Расслабляющие массажи,Абхьянга,,false,,,,,
1.2.25,1,Массаж тела,1.2,Расслабляющие массажи,Шиацу,,false,,,,,
1.2.26,1,Массаж тела,1.2,Расслабляющие массажи,Рефлекторный массаж стоп,,false,,,,,
1.3.1,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Лечебно-оздоровительный массаж,,false,,,,,
1.3.2,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Профилактический массаж,,false,,,,,
1.3.3,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Восстановительный массаж,,false,,,,,
1.3.4,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Миофасциальный массаж,,false,,,,,
1.3.5,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Глубокотканный массаж,,false,,,,,
1.3.6,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Спортивный массаж,,false,,,,,
1.3.7,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Восстановительный массаж после тренировок,,false,,,,,
1.3.8,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж для спортсменов,,false,,,,,
1.3.9,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при мышечном напряжении,,false,,,,,
1.3.10,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при сидячем образе жизни,,false,,,,,
1.3.11,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж для офисных сотрудников,,false,,,,,
1.3.12,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Триггерный массаж,,false,,,,,
1.3.13,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж триггерных точек,,false,,,,,
1.3.14,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Постизометрическая релаксация,,false,,,,,
1.3.15,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Мануально-мышечная коррекция,,false,,,,,
1.3.16,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при гипертонусе мышц,,false,,,,,
1.3.17,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при нарушении осанки,,false,,,,,
1.3.18,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при хронической усталости,,false,,,,,
1.3.19,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж после физических нагрузок,,false,,,,,
1.3.20,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Восстановительный массаж ног,,false,,,,,
1.3.21,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Восстановительный массаж спины,,false,,,,,
1.3.22,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при отечности,,false,,,,,
1.3.23,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж после родов,только после разрешения врача,true,marker,,,,
1.3.24,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при болях в спине,если есть соответствующая квалификация,true,marker,,,,
1.3.25,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при головных болях напряжения,если есть соответствующая квалификация,true,marker,,,,
1.4.1,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Лимфодренажный массаж тела,,false,,,,,
1.4.2,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Лимфодренажный массаж ног,,false,,,,,
1.4.3,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Лимфодренажный массаж живота,,false,,,,,
1.4.4,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Лимфодренажный массаж лица,,false,,,,,
1.4.5,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Антицеллюлитный массаж,,false,,,,,
1.4.6,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Ручной антицеллюлитный массаж,,false,,,,,
1.4.7,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Интенсивный антицеллюлитный массаж,,false,,,,,
1.4.8,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Моделирующий массаж,,false,,,,,
1.4.9,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Скульптурирующий массаж тела,,false,,,,,
1.4.10,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Корректирующий массаж,,false,,,,,
1.4.11,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж для уменьшения объемов,,false,,,,,
1.4.12,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж живота,,false,,,,,
1.4.13,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж боков,,false,,,,,
1.4.14,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж бедер,,false,,,,,
1.4.15,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж ягодиц,,false,,,,,
1.4.16,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж зоны галифе,,false,,,,,
1.4.17,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж рук для коррекции объема,,false,,,,,
1.4.18,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж ног от отеков,,false,,,,,
1.4.19,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Баночный массаж,,false,,,,,
1.4.20,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Вакуумный ручной массаж,,false,,,,,
1.4.21,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Медовый антицеллюлитный массаж,,false,,,,,
1.4.22,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж сухой щеткой,,false,,,,,
1.4.23,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Массаж + обертывание,,false,,,,,
1.4.24,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Курс антицеллюлитного массажа,,false,,,,,
1.4.25,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Курс лимфодренажного массажа,,false,,,,,
1.4.26,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Программа коррекции фигуры,,false,,,,,
1.4.27,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Программа “минус объемы”,,false,,,,,
1.4.28,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Программа “легкие ноги”,,false,,,,,
1.4.29,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Программа “плоский живот”,,false,,,,,
1.4.30,1,Массаж тела,1.4,Лимфодренаж и коррекция фигуры,Программа “упругие ягодицы”,,false,,,,,
1.5.1,1,Массаж тела,1.5,Женские и специальные массажи,Массаж для женщин,,false,,,,,
1.5.2,1,Массаж тела,1.5,Женские и специальные массажи,Массаж для беременных,,false,,,,,
1.5.3,1,Массаж тела,1.5,Женские и специальные массажи,Массаж ног для беременных,,false,,,,,
1.5.4,1,Массаж тела,1.5,Женские и специальные массажи,Мягкий лимфодренаж для беременных,,false,,,,,
1.5.5,1,Массаж тела,1.5,Женские и специальные массажи,Массаж после родов,,false,,,,,
1.5.6,1,Массаж тела,1.5,Женские и специальные массажи,Массаж для восстановления после беременности,,false,,,,,
1.5.7,1,Массаж тела,1.5,Женские и специальные массажи,Массаж живота после родов,,false,,,,,
1.5.8,1,Массаж тела,1.5,Женские и специальные массажи,Массаж при отечности у женщин,,false,,,,,
1.5.9,1,Массаж тела,1.5,Женские и специальные массажи,Массаж при ПМС,,false,,,,,
1.5.10,1,Массаж тела,1.5,Женские и специальные массажи,"Массаж лица, шеи и декольте",,false,,,,,
1.5.11,1,Массаж тела,1.5,Женские и специальные массажи,Буккальный массаж лица,,false,,,,,
1.5.12,1,Массаж тела,1.5,Женские и специальные массажи,Скульптурный массаж лица,,false,,,,,
1.5.13,1,Массаж тела,1.5,Женские и специальные массажи,Пластический массаж лица,,false,,,,,
1.5.14,1,Массаж тела,1.5,Женские и специальные массажи,Хиромассаж лица,,false,,,,,
1.5.15,1,Массаж тела,1.5,Женские и специальные массажи,Лимфодренажный массаж лица,,false,,,,,
1.5.16,1,Массаж тела,1.5,Женские и специальные массажи,Миофасциальный массаж лица,,false,,,,,
1.5.17,1,Массаж тела,1.5,Женские и специальные массажи,Кобидо,,false,,,,,
1.5.18,1,Массаж тела,1.5,Женские и специальные массажи,Испанский массаж лица,,false,,,,,
1.5.19,1,Массаж тела,1.5,Женские и специальные массажи,Массаж груди,только при наличии квалификации и юридически корректного протокола,true,marker,,,,
1.6.1,1,Массаж тела,1.6,Детский массаж,Общий детский массаж,,false,,,,,
1.6.2,1,Массаж тела,1.6,Детский массаж,Массаж детям до 1 года,,false,,,,,
1.6.3,1,Массаж тела,1.6,Детский массаж,Массаж детям 1–3 лет,,false,,,,,
1.6.4,1,Массаж тела,1.6,Детский массаж,Массаж детям 3–7 лет,,false,,,,,
1.6.5,1,Массаж тела,1.6,Детский массаж,Массаж школьникам,,false,,,,,
1.6.6,1,Массаж тела,1.6,Детский массаж,Профилактический детский массаж,,false,,,,,
1.6.7,1,Массаж тела,1.6,Детский массаж,Детский массаж спины,,false,,,,,
1.6.8,1,Массаж тела,1.6,Детский массаж,Детский массаж стоп,,false,,,,,
1.6.9,1,Массаж тела,1.6,Детский массаж,Массаж при нарушении осанки у детей,,false,,,,,
1.6.10,1,Массаж тела,1.6,Детский массаж,Массаж при гипертонусе/гипотонусе,,false,,,,,
1.6.11,1,Массаж тела,1.6,Детский массаж,Лечебный детский массаж,только медицинский профиль,true,marker,,,,
1.6.12,1,Массаж тела,1.6,Детский массаж,Массаж для подростков,,false,,,,,
1.6.13,1,Массаж тела,1.6,Детский массаж,Детский спортивный массаж,,false,,,,,
2.1.1,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж тела,,false,,,,,
2.1.2,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж лица,,false,,,,,
2.1.3,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж живота,,false,,,,,
2.1.4,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж бедер,,false,,,,,
2.1.5,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж ягодиц,,false,,,,,
2.1.6,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж рук,,false,,,,,
2.1.7,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,LPG-массаж ног,,false,,,,,
2.1.8,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Вакуумно-роликовый массаж,,false,,,,,
2.1.9,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Вакуумный аппаратный массаж,,false,,,,,
2.1.10,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Вакуумно-роликовая коррекция фигуры,,false,,,,,
2.1.11,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Аппаратный лимфодренаж,,false,,,,,
2.1.12,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Прессотерапия,,false,,,,,
2.1.13,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Барокомпрессионный лимфодренаж,,false,,,,,
2.1.14,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Прессотерапия ног,,false,,,,,
2.1.15,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Прессотерапия тела,,false,,,,,
2.1.16,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Прессотерапия + обертывание,,false,,,,,
2.1.17,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Эндосфера-терапия,,false,,,,,
2.1.18,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,R-Sleek массаж,,false,,,,,
2.1.19,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Starvac массаж,,false,,,,,
2.1.20,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,ICOONE массаж,,false,,,,,
2.1.21,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Vortex массаж,,false,,,,,
2.1.22,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Cellu M6 массаж,,false,,,,,
2.1.23,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Аппаратный массаж ног,,false,,,,,
2.1.24,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Аппаратный массаж живота,,false,,,,,
2.1.25,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Аппаратный массаж ягодиц,,false,,,,,
2.1.26,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Аппаратный массаж бедер,,false,,,,,
2.1.27,2,Аппаратный массаж и аппаратная коррекция фигуры,2.1,Вакуумно-роликовые и лимфодренажные методики,Аппаратный массаж рук,,false,,,,,
2.2.1,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-лифтинг тела,,false,,,,,
2.2.2,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-лифтинг лица,,false,,,,,
2.2.3,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-лифтинг живота,,false,,,,,
2.2.4,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-лифтинг бедер,,false,,,,,
2.2.5,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-лифтинг ягодиц,,false,,,,,
2.2.6,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-лифтинг рук,,false,,,,,
2.2.7,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Радиочастотный лифтинг,,false,,,,,
2.2.8,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Мультиполярный RF,,false,,,,,
2.2.9,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Биполярный RF,,false,,,,,
2.2.10,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",RF-липолиз,,false,,,,,
2.2.11,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Ультразвуковая кавитация,,false,,,,,
2.2.12,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Кавитация живота,,false,,,,,
2.2.13,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Кавитация боков,,false,,,,,
2.2.14,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Кавитация бедер,,false,,,,,
2.2.15,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Кавитация ягодиц,,false,,,,,
2.2.16,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Кавитация рук,,false,,,,,
2.2.17,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Кавитация зоны галифе,,false,,,,,
2.2.18,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Миостимуляция,,false,,,,,
2.2.19,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Электромиостимуляция,,false,,,,,
2.2.20,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",EMS-терапия,,false,,,,,
2.2.21,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",EMS body sculpt,,false,,,,,
2.2.22,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Электролиполиз,,false,,,,,
2.2.23,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Микротоки по телу,,false,,,,,
2.2.24,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Аппаратное моделирование фигуры,,false,,,,,
2.2.25,2,Аппаратный массаж и аппаратная коррекция фигуры,2.2,"RF, кавитация, миостимуляция",Аппаратное уменьшение объемов,,false,,,,,
2.3.1,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape тела,,false,,,,,
2.3.2,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape живот,,false,,,,,
2.3.3,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape бедра,,false,,,,,
2.3.4,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape ягодицы,,false,,,,,
2.3.5,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape руки,,false,,,,,
2.3.6,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape зона галифе,,false,,,,,
2.3.7,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape колени,,false,,,,,
2.3.8,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape комплекс,,false,,,,,
2.3.9,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape + ручной массаж,,false,,,,,
2.3.10,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape + антицеллюлитный массаж,,false,,,,,
2.3.11,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape + лимфодренаж,,false,,,,,
2.3.12,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape + обертывание,,false,,,,,
2.3.13,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,VelaShape курс коррекции фигуры,,false,,,,,
2.3.14,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,Вакуум + RF,,false,,,,,
2.3.15,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,RF + кавитация,,false,,,,,
2.3.16,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,Кавитация + прессотерапия,,false,,,,,
2.3.17,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,Кавитация + RF + прессотерапия,,false,,,,,
2.3.18,2,Аппаратный массаж и аппаратная коррекция фигуры,2.3,VelaShape и комбинированные процедуры,Аппаратная программа коррекции фигуры,,false,,,,,
2.4.1,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Криолиполиз,,false,,,,,
2.4.2,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Лазерный липолиз,,false,,,,,
2.4.3,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Липолазер,,false,,,,,
2.4.4,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",HIFU-лифтинг тела,,false,,,,,
2.4.5,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",SMAS-лифтинг тела,,false,,,,,
2.4.6,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Термотерапия тела,,false,,,,,
2.4.7,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Инфракрасная термотерапия,,false,,,,,
2.4.8,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Аппаратное прогревание,,false,,,,,
2.4.9,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Вибромассаж,,false,,,,,
2.4.10,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Виброплатформа,,false,,,,,
2.4.11,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Гидромассаж,,false,,,,,
2.4.12,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Душ Шарко,,false,,,,,
2.4.13,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Подводный душ-массаж,,false,,,,,
2.4.14,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Спа-капсула,,false,,,,,
2.4.15,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Инфракрасная сауна,,false,,,,,
2.4.16,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры",Кедровая бочка,,false,,,,,
2.4.17,2,Аппаратный массаж и аппаратная коррекция фигуры,2.4,"Крио, лазер, HIFU, термо и водные процедуры","Флоатинг, если есть соответствующее оборудование",,false,,,,,
3.1.1,3,"SPA, обертывания и уходы за телом",3.1,Обертывания,Антицеллюлитное обертывание,,false,,,,,
3.1.2,3,"SPA, обертывания и уходы за телом",3.1,Обертывания,Лимфодренажное обертывание,,false,,,,,
3.1.3,3,"SPA, обертывания и уходы за телом",3.1,Обертывания,Водорослевое обертывание,,false,,,,,
3.1.4,3,"SPA, обертывания и уходы за телом",3.1,Обертывания,Шоколадное обертывание,,false,,,,,
